step,tag,value
32000,Self-play/ELO,1194.5777587890625
32000,Self-play/ELO,1196.58642578125
32000,Self-play/ELO,1195.3797607421875
33000,Self-play/ELO,1198.0426025390625
33000,Self-play/ELO,1193.1063232421875
33000,Self-play/ELO,1196.552490234375
33000,Self-play/ELO,1198.025634765625
33000,Self-play/ELO,1197.021484375
33000,Self-play/ELO,1196.58642578125
34000,Self-play/ELO,1193.1063232421875
34000,Self-play/ELO,1196.552490234375
34000,Self-play/ELO,1196.2174072265625
34000,Self-play/ELO,1197.528564453125
34000,Self-play/ELO,1196.58642578125
34000,Self-play/ELO,1193.9251708984375
35000,Self-play/ELO,1198.0426025390625
35000,Self-play/ELO,1196.2659912109375
35000,Self-play/ELO,1197.021484375
35000,Self-play/ELO,1196.34130859375
36000,Self-play/ELO,1198.0426025390625
36000,Self-play/ELO,1196.552490234375
36000,Self-play/ELO,1195.814208984375
36000,Self-play/ELO,1197.0328369140625
36000,Self-play/ELO,1193.850830078125
36000,Self-play/ELO,1197.021484375
36000,Self-play/ELO,1198.6221923828125
36000,Self-play/ELO,1191.731201171875
37000,Self-play/ELO,1196.3074951171875
37000,Self-play/ELO,1197.0328369140625
37000,Self-play/ELO,1193.850830078125
37000,Self-play/ELO,1194.8778076171875
38000,Self-play/ELO,1197.3017578125
38000,Self-play/ELO,1193.1319580078125
38000,Self-play/ELO,1195.814208984375
38000,Self-play/ELO,1197.0584716796875
38000,Self-play/ELO,1193.850830078125
38000,Self-play/ELO,1193.6663818359375
38000,Self-play/ELO,1190.9847412109375
39000,Self-play/ELO,1196.60302734375
39000,Self-play/ELO,1192.6572265625
39000,Self-play/ELO,1195.1427001953125
39000,Self-play/ELO,1195.814208984375
39000,Self-play/ELO,1196.5838623046875
39000,Self-play/ELO,1197.8927001953125
39000,Self-play/ELO,1193.7012939453125
40000,Self-play/ELO,1191.9185791015625
40000,Self-play/ELO,1195.3262939453125
40000,Self-play/ELO,1193.850830078125
40000,Self-play/ELO,1197.021484375
40000,Self-play/ELO,1192.6080322265625
40000,Self-play/ELO,1190.7374267578125
41000,Self-play/ELO,1196.64208984375
41000,Self-play/ELO,1191.6727294921875
41000,Self-play/ELO,1194.7802734375
41000,Self-play/ELO,1196.5838623046875
41000,Self-play/ELO,1197.021484375
41000,Self-play/ELO,1196.90625
41000,Self-play/ELO,1191.6519775390625
42000,Self-play/ELO,1191.6727294921875
42000,Self-play/ELO,1194.832763671875
42000,Self-play/ELO,1194.8397216796875
42000,Self-play/ELO,1196.5838623046875
42000,Self-play/ELO,1193.7542724609375
42000,Self-play/ELO,1196.2850341796875
